mes_compra,p_compra,mes_venta,p_venta,usd,pesos_final,ganancia,error_ganancia,error_ganancia_pct
Ene-2023,826.34,Jul-2025,951.55,1210.65,1152542.37,152542.37,1019.27,0.67
Ene-2023,826.34,Ago-2025,966.30,1210.65,1169491.53,169491.53,844.27,0.50
Ene-2023,826.34,Sep-2025,960.37,1210.65,1162227.60,162227.60,925.97,0.57
Ene-2023,826.34,Oct-2025,953.97,1210.65,1154963.68,154963.68,511.53,0.33
Ene-2023,826.34,Nov-2025,935.70,1210.65,1133171.91,133171.91,829.56,0.62
Ene-2023,826.34,Dic-2025,916.16,1210.65,1108958.84,108958.84,649.96,0.60
Feb-2023,798.26,Mar-2023,809.50,1253.13,1015037.59,15037.59,957.56,6.37
Feb-2023,798.26,Abr-2023,803.84,1253.13,1007518.80,7518.80,528.70,7.03
Feb-2023,798.26,May-2023,798.64,1253.13,1001253.13,1253.13,777.45,62.04
Feb-2023,798.26,Jun-2023,799.87,1253.13,1002506.27,2506.27,489.46,19.53
Feb-2023,798.26,Jul-2023,813.40,1253.13,1018796.99,18796.99,832.84,4.43
Feb-2023,798.26,Ago-2023,855.66,1253.13,1072681.70,72681.70,775.62,1.07
Feb-2023,798.26,Sep-2023,884.40,1253.13,1107769.42,107769.42,861.84,0.80
Feb-2023,798.26,Oct-2023,926.35,1253.13,1160401.00,160401.00,816.38,0.51
Feb-2023,798.26,Nov-2023,886.61,1253.13,1111528.82,111528.82,850.97,0.76
Feb-2023,798.26,Dic-2023,874.67,1253.13,1096491.23,96491.23,770.83,0.80
Feb-2023,798.26,Ene-2024,907.99,1253.13,1137844.61,137844.61,383.14,0.28
Feb-2023,798.26,Feb-2024,963.44,1253.13,1206766.92,206766.92,944.18,0.46
Feb-2023,798.26,Mar-2024,967.93,1253.13,1213032.58,213032.58,482.82,0.23
Feb-2023,798.26,Abr-2024,960.14,1253.13,1203007.52,203007.52,567.24,0.28
Feb-2023,798.26,May-2024,917.88,1253.13,1150375.94,150375.94,525.08,0.35
Feb-2023,798.26,Jun-2024,926.08,1253.13,1160401.00,160401.00,478.19,0.30
Feb-2023,798.26,Jul-2024,937.56,1253.13,1175438.60,175438.60,934.49,0.53
Feb-2023,798.26,Ago-2024,929.90,1253.13,1165413.53,165413.53,504.91,0.31
Feb-2023,798.26,Sep-2024,926.21,1253.13,1160401.00,160401.00,641.05,0.40
Feb-2023,798.26,Oct-2024,933.81,1253.13,1170426.07,170426.07,619.36,0.36
Feb-2023,798.26,Nov-2024,971.60,1253.13,1218045.11,218045.11,898.19,0.41
Feb-2023,798.26,Dic-2024,982.30,1253.13,1230576.44,230576.44,776.63,0.34
Feb-2023,798.26,Ene-2025,1000.76,1253.13,1253132.83,253132.83,1359.81,0.54
Feb-2023,798.26,Feb-2025,956.62,1253.13,1199248.12,199248.12,866.98,0.44
Feb-2023,798.26,Mar-2025,932.55,1253.13,1169172.93,169172.93,944.99,0.56
Feb-2023,798.26,Abr-2025,961.96,1253.13,1205513.78,205513.78,442.77,0.22
Feb-2023,798.26,May-2025,941.01,1253.13,1179197.99,179197.99,396.61,0.22
Feb-2023,798.26,Jun-2025,938.04,1253.13,1175438.60,175438.60,432.97,0.25
Feb-2023,798.26,Jul-2025,951.55,1253.13,1192982.46,192982.46,952.74,0.49
Feb-2023,798.26,Ago-2025,966.30,1253.13,1210526.32,210526.32,770.10,0.37
Feb-2023,798.26,Sep-2025,960.37,1253.13,1203007.52,203007.52,855.31,0.42
Feb-2023,798.26,Oct-2025,953.97,1253.13,1195488.72,195488.72,426.98,0.22
Feb-2023,798.26,Nov-2025,935.70,1253.13,1172932.33,172932.33,758.09,0.44
Feb-2023,798.26,Dic-2025,916.16,1253.13,1147869.67,147869.67,574.34,0.39
Mar-2023,809.50,Abr-2023,803.84,1234.57,992592.59,-7407.41,810.66,10.94
